Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.16653883,0.14138953,0.01666278,100000,1.18021366
BL,0.16630149,0.13745893,0.01910976,100000,1.18765559
BL,0.17617257,0.15155087,0.01631321,62472,0.73814653
BL,0.16921493,0.13984476,0.01945933,89192,1.05903539
BL,0.16923948,0.13758302,0.02097413,60428,0.72058050
BL,0.16648282,0.13834374,0.01864367,100000,1.18178750
BL,0.17098860,0.14724625,0.01573060,95264,1.13941652
BL,0.16869210,0.14389453,0.01642974,98415,1.17517261
BL,0.16776405,0.14050433,0.01806106,100000,1.18230552
BL,0.17031804,0.14376178,0.01759497,100000,1.17452424
BL_Optimizado,0.16653901,0.14138953,0.01666278,100000,0.16929070
BL_Optimizado,0.16630152,0.13745893,0.01910976,100000,0.16819359
BL_Optimizado,0.17617244,0.15155087,0.01631321,62472,0.10849780
BL_Optimizado,0.16921471,0.13984476,0.01945933,89192,0.15372811
BL_Optimizado,0.16923913,0.13758302,0.02097413,60428,0.10698212
BL_Optimizado,0.16648312,0.13834374,0.01864367,100000,0.17175592
BL_Optimizado,0.17098847,0.14724625,0.01573060,95264,0.16027202
BL_Optimizado,0.16869189,0.14389453,0.01642974,98415,0.16655769
BL_Optimizado,0.16776387,0.14050433,0.01806106,100000,0.16956180
BL_Optimizado,0.17031805,0.14376178,0.01759497,100000,0.16863331
Extra,0.16945896,0.14061639,0.01910976,100000,0.18781709
Extra,0.16752139,0.13920643,0.01876020,100000,0.16719128
Extra,0.16947010,0.14590362,0.01561408,100000,0.16371743
Extra,0.17027363,0.14231042,0.01852715,100000,0.16451090
Extra,0.17469887,0.14761502,0.01794454,100000,0.16521976
Extra,0.16753304,0.13956983,0.01852715,100000,0.16792515
Extra,0.17161259,0.14927718,0.01479842,100000,0.16240313
Extra,0.17096530,0.14845405,0.01491494,100000,0.16882182
Extra,0.16806670,0.13799306,0.01992543,100000,0.16896422
Extra,0.17018217,0.14450527,0.01701235,100000,0.16272671
Greedy,0.24755201,0.24632092,0.00081566,11,0.00357265
Greedy,0.24934115,0.24881354,0.00034957,18,0.00583316
Greedy,0.25104776,0.24964081,0.00093218,11,0.00353394
Greedy,0.25110671,0.24969976,0.00093218,18,0.00577580
Greedy,0.24859165,0.24718469,0.00093218,9,0.00291214
Greedy,0.24469297,0.24398948,0.00046609,11,0.00352751
Greedy,0.24089338,0.24071751,0.00011652,17,0.00547800
Greedy,0.24763791,0.24658270,0.00069914,14,0.00449678
Greedy,0.24757403,0.24634295,0.00081566,13,0.00419053
Greedy,0.25197256,0.25144494,0.00034957,18,0.00577349
Random,0.33275265,0.24851128,0.05581450,100000,1.74445495
Random,0.33225048,0.24871260,0.05534840,100000,1.71798479
Random,0.33500063,0.25093513,0.05569797,100000,1.71023598
Random,0.33598477,0.25420558,0.05418317,100000,1.71359052
Random,0.33527666,0.25191464,0.05523188,100000,1.72120844
Random,0.33536455,0.25411297,0.05383361,100000,1.73375297
Random,0.33350831,0.25102563,0.05464927,100000,1.72099130
Random,0.33281496,0.25138751,0.05395013,100000,1.73196987
Random,0.33658504,0.24566066,0.06024237,100000,1.88452667
Random,0.33695811,0.25025457,0.05744582,100000,1.81871055
